Stamp,ID
5115110185W22191400397,"null	"
5115110185W22191400398,"null	"
5115110185W22191400399,"null	"
5115110185W22191400400,"null	"
5115110185W22191400401,"null	"
5115110185W22191400402,"null	"
5115110185W22191400403,"195713070077481	"
5115110185W22191400404,"null	"
5115110185W22191400405,"null	"
5115110185W22191400406,"177021372707034	"
5115110185W22191400407,"null	"
5115110185W22191400408,"178120884363170	"
5115110185W22191400409,"177021372732581	"
5115110185W22191400410,"null	"
5115110185W22191400411,"null	"
5115110185W22191400412,"null	"
5115110185W22191400413,"null	"
5115110185W22191400414,"null	"
5115110185W22191400415,"189116000613436	"
5115110185W22191400416,"null	"
5115110185W22191400417,"null	"
5115110185W22191400418,"null	"
5115110185W22191400419,"186916977463593	"
5115110185W22191400420,"180319907631718	"
5115110185W22191400421,"null	"
5115110185W22191400422,"null	"
5115110185W22191400423,"190215512265950	"
5115110185W22191400424,"null	"
5115110185W22191400425,"null	"
5115110185W22191400426,"null	"
5115110185W22191400427,"null	"
5115110185W22191400428,"null	"
5115110185W22191400429,"null	"
5115110185W22191400430,"null	"
5115110185W22191400431,"null	"
5115110185W22191400432,"null	"
5115110185W22191400433,"null	"
5115110185W22191400434,"183618442566715	"
5115110185W22191400435,"null	"
5115110185W22191400436,"null	"
5115110185W22191400437,"null	"
5115110185W22191400438,"null	"
5115110185W22191400439,"null	"
5115110185W22191400440,"null	"
5115110185W22191400441,"null	"
5115110185W22191400442,"179220395979419	"
5115110185W22191400443,"null	"
5115110185W22191400444,"null	"
5115110185W22191400445,"null	"
5115110185W22191400446,"null	"
5115110185W22191400447,"197912093460416	"
5115110185W22191400448,"180319907665113	"
5115110185W22191400449,"null	"
5115110185W22191400450,"196812581782204	"
5115110185W22191400451,"null	"
5115110185W22191400452,"186916977442623	"
5115110185W22191400453,"179220396024395	"
5115110185W22191400454,"null	"
5115110185W22191400455,"null	"
5115110185W22191400456,"null	"
5115110185W22191400457,"null	"
5115110185W22191400458,"null	"
5115110185W22191400459,"null	"
5115110185W22191400460,"null	"
5115110185W22191400461,"null	"
5115110185W22191400462,"null	"
5115110185W22191400463,"null	"
5115110185W22191400464,"189116000650561	"
5115110185W22191400465,"null	"
5115110185W22191400466,"null	"
5115110185W22191400467,"190215512219278	"
5115110185W22191400468,"null	"
5115110185W22191400469,"null	"
5115110185W22191400470,"null	"
5115110185W22191400471,"179220395953554	"
5115110185W22191400472,"null	"
5115110185W22191400473,"null	"
5115110185W22191400474,"null	"
5115110185W22191400475,"null	"
5115110185W22191400476,"null	"
5115110185W22191400477,"null	"
5115110185W22191400478,"null	"
5115110185W22191400479,"null	"
5115110185W22191400480,"null	"
5115110185W22191400481,"null	"
5115110185W22191400482,"null	"
5115110185W22191400483,"null	"
5115110185W22191400484,"null	"
5115110185W22191400485,"null	"
5115110185W22191400486,"null	"
5115110185W22191400487,"null	"
5115110185W22191400488,"null	"
5115110185W22191400489,"null	"
5115110185W22191400490,"null	"
5115110185W22191400491,"null	"
5115110185W22191400492,"null	"
5115110185W22191400493,"null	"
5115110185W22191400494,"null	"
5115110185W22191400495,"null	"
5115110185W22191400496,"null	"
5115110185W22191400497,"179220395992923	"
5115110185W22191400498,"null	"
5115110185W22191400499,"null	"
5115110185W22191400500,"null	"
5115110185W22191400501,"null	"
5115110185W22191400502,"182518930870491	"
5115110185W22191400503,"180319907617946	"
5115110185W22191400504,"183618442499495	"
5115110185W22191400505,"null	"
5115110185W22191400506,"null	"
5115110185W22191400507,"null	"
5115110185W22191400508,"null	"
5115110185W22191400509,"183618442473665	"
5115110185W22191400510,"null	"
5115110185W22191400511,"null	"
5115110185W22191400512,"195713070101000	"
5115110185W22191400513,"null	"
5115110185W22191400514,"null	"
5115110185W22191400515,"190215512224599	"
5115110185W22191400516,"null	"
5115110185W22191400517,"193514046813465	"
5115110185W22191400518,"null	"
5115110185W22191400519,"null	"
5115110185W22191400520,"190215512212297	"
5115110185W22191400521,"null	"
5115110185W22191400522,"null	"
5115110185W22191400523,"null	"
5115110185W22191400524,"null	"
5115110185W22191400525,"null	"
5115110185W22191400526,"null	"
5115110185W22191400527,"null	"
5115110185W22191400528,"null	"
5115110185W22191400529,"null	"
5115110185W22191400530,"null	"
5115110185W22191400531,"null	"
5115110185W22191400532,"null	"
5115110185W22191400533,"null	"
5115110185W22191400534,"null	"
5115110185W22191400535,"null	"
